Start Station,Start Terminal,End Station,End Terminal,Trips
Washington at Kearny,46,Davis at Jackson,42,66
Washington at Kearny,46,Commercial at Montgomery,45,23
Washington at Kearny,46,Washington at Kearny,46,84
Washington at Kearny,46,Post at Kearny,47,81
Washington at Kearny,46,Embarcadero at Vallejo,48,34
Washington at Kearny,46,Spear at Folsom,49,47
Washington at Kearny,46,Harry Bridges Plaza (Ferry Building),50,131
Washington at Kearny,46,Embarcadero at Folsom,51,99
Washington at Kearny,46,Embarcadero at Bryant,54,45
Washington at Kearny,46,Temporary Transbay Terminal,55,120
Washington at Kearny,46,Beale at Market,56,83
Washington at Kearny,46,5th at Howard,57,116
Washington at Kearny,46,San Francisco City Hall,58,25
Washington at Kearny,46,Golden Gate at Polk,59,57
Washington at Kearny,46,Embarcadero at Sansome,60,232
Washington at Kearny,46,2nd at Townsend,61,70
Washington at Kearny,46,2nd at Folsom,62,16
Washington at Kearny,46,Howard at 2nd,63,35
Washington at Kearny,46,2nd at South Park,64,183
Washington at Kearny,46,Townsend at 7th,65,26
Washington at Kearny,46,South Van Ness at Market,66,43
Washington at Kearny,46,Market at 10th,67,97
Washington at Kearny,46,Yerba Buena Center of the Arts (3rd @ Howard),68,21
Washington at Kearny,46,San Francisco Caltrain 2 (330 Townsend),69,42
Washington at Kearny,46,San Francisco Caltrain (Townsend at 4th),70,121
Washington at Kearny,46,Powell at Post (Union Square),71,53
Washington at Kearny,46,Civic Center BART (7th at Market),72,62
Washington at Kearny,46,Grant Avenue at Columbus Avenue,73,52
Washington at Kearny,46,Steuart at Market,74,65
Washington at Kearny,46,Mechanics Plaza (Market at Battery),75,134
Washington at Kearny,46,Market at 4th,76,141
Washington at Kearny,46,Market at Sansome,77,191
Washington at Kearny,46,Broadway St at Battery St,82,29
Post at Kearny,47,Powell Street BART,39,86
Post at Kearny,47,Clay at Battery,41,62
Post at Kearny,47,Davis at Jackson,42,112
Post at Kearny,47,Commercial at Montgomery,45,167
Post at Kearny,47,Washington at Kearny,46,251
Post at Kearny,47,Post at Kearny,47,78
Post at Kearny,47,Embarcadero at Vallejo,48,36
Post at Kearny,47,Spear at Folsom,49,66
Post at Kearny,47,Harry Bridges Plaza (Ferry Building),50,259
Post at Kearny,47,Embarcadero at Folsom,51,56
Post at Kearny,47,Embarcadero at Bryant,54,50
Post at Kearny,47,Temporary Transbay Terminal,55,93
Post at Kearny,47,Beale at Market,56,75
Post at Kearny,47,5th at Howard,57,109
Post at Kearny,47,San Francisco City Hall,58,48
Post at Kearny,47,Golden Gate at Polk,59,44
Post at Kearny,47,Embarcadero at Sansome,60,131
Post at Kearny,47,2nd at Townsend,61,98
Post at Kearny,47,2nd at Folsom,62,36
Post at Kearny,47,Howard at 2nd,63,186
Post at Kearny,47,2nd at South Park,64,212
Post at Kearny,47,Townsend at 7th,65,103
Post at Kearny,47,South Van Ness at Market,66,120
Post at Kearny,47,Market at 10th,67,153
Post at Kearny,47,Yerba Buena Center of the Arts (3rd @ Howard),68,57
Post at Kearny,47,San Francisco Caltrain 2 (330 Townsend),69,502
Post at Kearny,47,San Francisco Caltrain (Townsend at 4th),70,525
Post at Kearny,47,Powell at Post (Union Square),71,56
Post at Kearny,47,Civic Center BART (7th at Market),72,56
Post at Kearny,47,Grant Avenue at Columbus Avenue,73,122
Post at Kearny,47,Steuart at Market,74,199
Post at Kearny,47,Mechanics Plaza (Market at Battery),75,89
Post at Kearny,47,Market at 4th,76,35
Post at Kearny,47,Market at Sansome,77,31
Post at Kearny,47,Broadway St at Battery St,82,43
Embarcadero at Vallejo,48,Powell Street BART,39,49
Embarcadero at Vallejo,48,Clay at Battery,41,44
Embarcadero at Vallejo,48,Davis at Jackson,42,66
Embarcadero at Vallejo,48,Commercial at Montgomery,45,29
Embarcadero at Vallejo,48,Washington at Kearny,46,41
Embarcadero at Vallejo,48,Post at Kearny,47,30
Embarcadero at Vallejo,48,Embarcadero at Vallejo,48,219
Embarcadero at Vallejo,48,Spear at Folsom,49,33
Embarcadero at Vallejo,48,Harry Bridges Plaza (Ferry Building),50,341
Embarcadero at Vallejo,48,Embarcadero at Folsom,51,135
Embarcadero at Vallejo,48,Embarcadero at Bryant,54,341
Embarcadero at Vallejo,48,Temporary Transbay Terminal,55,483
Embarcadero at Vallejo,48,Beale at Market,56,129
Embarcadero at Vallejo,48,5th at Howard,57,34
Embarcadero at Vallejo,48,San Francisco City Hall,58,6
Embarcadero at Vallejo,48,Golden Gate at Polk,59,11
Embarcadero at Vallejo,48,Embarcadero at Sansome,60,456
Embarcadero at Vallejo,48,2nd at Townsend,61,204
Embarcadero at Vallejo,48,2nd at Folsom,62,11
Embarcadero at Vallejo,48,Howard at 2nd,63,43
Embarcadero at Vallejo,48,2nd at South Park,64,152
Embarcadero at Vallejo,48,Townsend at 7th,65,66
Embarcadero at Vallejo,48,South Van Ness at Market,66,10
Embarcadero at Vallejo,48,Market at 10th,67,13
Embarcadero at Vallejo,48,Yerba Buena Center of the Arts (3rd @ Howard),68,35
Embarcadero at Vallejo,48,San Francisco Caltrain 2 (330 Townsend),69,151
Embarcadero at Vallejo,48,San Francisco Caltrain (Townsend at 4th),70,329
Embarcadero at Vallejo,48,Powell at Post (Union Square),71,44
Embarcadero at Vallejo,48,Civic Center BART (7th at Market),72,18
Embarcadero at Vallejo,48,Grant Avenue at Columbus Avenue,73,55
Embarcadero at Vallejo,48,Steuart at Market,74,901
Embarcadero at Vallejo,48,Mechanics Plaza (Market at Battery),75,51
Embarcadero at Vallejo,48,Market at 4th,76,94
Embarcadero at Vallejo,48,Market at Sansome,77,56
Embarcadero at Vallejo,48,Broadway St at Battery St,82,26
Spear at Folsom,49,Powell Street BART,39,45
Spear at Folsom,49,Clay at Battery,41,79
Spear at Folsom,49,Davis at Jackson,42,183
Spear at Folsom,49,Commercial at Montgomery,45,359
Spear at Folsom,49,Washington at Kearny,46,59
Spear at Folsom,49,Post at Kearny,47,30
Spear at Folsom,49,Embarcadero at Vallejo,48,62
Spear at Folsom,49,Spear at Folsom,49,69
Spear at Folsom,49,Harry Bridges Plaza (Ferry Building),50,175
Spear at Folsom,49,Embarcadero at Folsom,51,30
Spear at Folsom,49,Embarcadero at Bryant,54,115
Spear at Folsom,49,Temporary Transbay Terminal,55,37
Spear at Folsom,49,Beale at Market,56,67
Spear at Folsom,49,5th at Howard,57,76
Spear at Folsom,49,San Francisco City Hall,58,15
Spear at Folsom,49,Golden Gate at Polk,59,27
Spear at Folsom,49,Embarcadero at Sansome,60,203
Spear at Folsom,49,2nd at Townsend,61,503
Spear at Folsom,49,2nd at Folsom,62,46
Spear at Folsom,49,Howard at 2nd,63,133
Spear at Folsom,49,2nd at South Park,64,92
Spear at Folsom,49,Townsend at 7th,65,170
Spear at Folsom,49,South Van Ness at Market,66,79
Spear at Folsom,49,Market at 10th,67,145
Spear at Folsom,49,Yerba Buena Center of the Arts (3rd @ Howard),68,82
Spear at Folsom,49,San Francisco Caltrain 2 (330 Townsend),69,457
Spear at Folsom,49,San Francisco Caltrain (Townsend at 4th),70,788
Spear at Folsom,49,Powell at Post (Union Square),71,60
Spear at Folsom,49,Civic Center BART (7th at Market),72,58
Spear at Folsom,49,Grant Avenue at Columbus Avenue,73,66
Spear at Folsom,49,Steuart at Market,74,310
Spear at Folsom,49,Mechanics Plaza (Market at Battery),75,218
Spear at Folsom,49,Market at 4th,76,74
Spear at Folsom,49,Market at Sansome,77,122
Spear at Folsom,49,Broadway St at Battery St,82,77
Harry Bridges Plaza (Ferry Building),50,Redwood City Caltrain Station,22,1
Harry Bridges Plaza (Ferry Building),50,Powell Street BART,39,281
Harry Bridges Plaza (Ferry Building),50,Clay at Battery,41,120
Harry Bridges Plaza (Ferry Building),50,Davis at Jackson,42,145
Harry Bridges Plaza (Ferry Building),50,Commercial at Montgomery,45,111
Harry Bridges Plaza (Ferry Building),50,Washington at Kearny,46,115
Harry Bridges Plaza (Ferry Building),50,Post at Kearny,47,186
Harry Bridges Plaza (Ferry Building),50,Embarcadero at Vallejo,48,547
Harry Bridges Plaza (Ferry Building),50,Spear at Folsom,49,107
Harry Bridges Plaza (Ferry Building),50,Harry Bridges Plaza (Ferry Building),50,631
Harry Bridges Plaza (Ferry Building),50,Embarcadero at Folsom,51,103
Harry Bridges Plaza (Ferry Building),50,Embarcadero at Bryant,54,542
Harry Bridges Plaza (Ferry Building),50,Temporary Transbay Terminal,55,244
Harry Bridges Plaza (Ferry Building),50,Beale at Market,56,61
Harry Bridges Plaza (Ferry Building),50,5th at Howard,57,225
Harry Bridges Plaza (Ferry Building),50,San Francisco City Hall,58,48
Harry Bridges Plaza (Ferry Building),50,Golden Gate at Polk,59,51
Harry Bridges Plaza (Ferry Building),50,Embarcadero at Sansome,60,2986
Harry Bridges Plaza (Ferry Building),50,2nd at Townsend,61,2530
Harry Bridges Plaza (Ferry Building),50,2nd at Folsom,62,390
Harry Bridges Plaza (Ferry Building),50,Howard at 2nd,63,449
Harry Bridges Plaza (Ferry Building),50,2nd at South Park,64,727
Harry Bridges Plaza (Ferry Building),50,Townsend at 7th,65,574
Harry Bridges Plaza (Ferry Building),50,South Van Ness at Market,66,49
Harry Bridges Plaza (Ferry Building),50,Market at 10th,67,217
Harry Bridges Plaza (Ferry Building),50,Yerba Buena Center of the Arts (3rd @ Howard),68,133
Harry Bridges Plaza (Ferry Building),50,San Francisco Caltrain 2 (330 Townsend),69,523
Harry Bridges Plaza (Ferry Building),50,San Francisco Caltrain (Townsend at 4th),70,2362
Harry Bridges Plaza (Ferry Building),50,Powell at Post (Union Square),71,138
Harry Bridges Plaza (Ferry Building),50,Civic Center BART (7th at Market),72,52
Harry Bridges Plaza (Ferry Building),50,Grant Avenue at Columbus Avenue,73,219
Harry Bridges Plaza (Ferry Building),50,Steuart at Market,74,62
Harry Bridges Plaza (Ferry Building),50,Mechanics Plaza (Market at Battery),75,266
Harry Bridges Plaza (Ferry Building),50,Market at 4th,76,280
Harry Bridges Plaza (Ferry Building),50,Market at Sansome,77,456
Harry Bridges Plaza (Ferry Building),50,Broadway St at Battery St,82,192
Embarcadero at Folsom,51,Powell Street BART,39,25
Embarcadero at Folsom,51,Clay at Battery,41,36
Embarcadero at Folsom,51,Davis at Jackson,42,140
Embarcadero at Folsom,51,Commercial at Montgomery,45,56
Embarcadero at Folsom,51,Washington at Kearny,46,153
Embarcadero at Folsom,51,Post at Kearny,47,37
Embarcadero at Folsom,51,Embarcadero at Vallejo,48,194
Embarcadero at Folsom,51,Spear at Folsom,49,24
Embarcadero at Folsom,51,Harry Bridges Plaza (Ferry Building),50,213
Embarcadero at Folsom,51,Embarcadero at Folsom,51,126
Embarcadero at Folsom,51,Embarcadero at Bryant,54,417
Embarcadero at Folsom,51,Temporary Transbay Terminal,55,36
Embarcadero at Folsom,51,Beale at Market,56,52
Embarcadero at Folsom,51,5th at Howard,57,86
Embarcadero at Folsom,51,San Francisco City Hall,58,13
Embarcadero at Folsom,51,Golden Gate at Polk,59,13
Embarcadero at Folsom,51,Embarcadero at Sansome,60,652
Embarcadero at Folsom,51,2nd at Townsend,61,730
Embarcadero at Folsom,51,2nd at Folsom,62,29
Embarcadero at Folsom,51,Howard at 2nd,63,111
Embarcadero at Folsom,51,2nd at South Park,64,154
Embarcadero at Folsom,51,Townsend at 7th,65,205
Embarcadero at Folsom,51,South Van Ness at Market,66,26
Embarcadero at Folsom,51,Market at 10th,67,19
Embarcadero at Folsom,51,Yerba Buena Center of the Arts (3rd @ Howard),68,88
Embarcadero at Folsom,51,San Francisco Caltrain 2 (330 Townsend),69,948
Embarcadero at Folsom,51,San Francisco Caltrain (Townsend at 4th),70,2384
Embarcadero at Folsom,51,Powell at Post (Union Square),71,26
Embarcadero at Folsom,51,Civic Center BART (7th at Market),72,73
Embarcadero at Folsom,51,Grant Avenue at Columbus Avenue,73,114
Embarcadero at Folsom,51,Steuart at Market,74,132
Embarcadero at Folsom,51,Mechanics Plaza (Market at Battery),75,127
Embarcadero at Folsom,51,Market at 4th,76,69
Embarcadero at Folsom,51,Market at Sansome,77,237
Embarcadero at Folsom,51,Broadway St at Battery St,82,73
Embarcadero at Bryant,54,Powell Street BART,39,38
Embarcadero at Bryant,54,Clay at Battery,41,146
Embarcadero at Bryant,54,Davis at Jackson,42,104
Embarcadero at Bryant,54,Commercial at Montgomery,45,299
Embarcadero at Bryant,54,Washington at Kearny,46,44
Embarcadero at Bryant,54,Post at Kearny,47,32
Embarcadero at Bryant,54,Embarcadero at Vallejo,48,680
Embarcadero at Bryant,54,Spear at Folsom,49,147
Embarcadero at Bryant,54,Harry Bridges Plaza (Ferry Building),50,616
Embarcadero at Bryant,54,Embarcadero at Folsom,51,469
Embarcadero at Bryant,54,Embarcadero at Bryant,54,200
Embarcadero at Bryant,54,Temporary Transbay Terminal,55,136
Embarcadero at Bryant,54,Beale at Market,56,204
Embarcadero at Bryant,54,5th at Howard,57,19
Embarcadero at Bryant,54,San Francisco City Hall,58,8
Embarcadero at Bryant,54,Golden Gate at Polk,59,7
Embarcadero at Bryant,54,Embarcadero at Sansome,60,932
Embarcadero at Bryant,54,2nd at Townsend,61,297
Embarcadero at Bryant,54,2nd at Folsom,62,32
Embarcadero at Bryant,54,Howard at 2nd,63,65
Embarcadero at Bryant,54,2nd at South Park,64,56
Embarcadero at Bryant,54,Townsend at 7th,65,298
Embarcadero at Bryant,54,South Van Ness at Market,66,12
Embarcadero at Bryant,54,Market at 10th,67,25
Embarcadero at Bryant,54,Yerba Buena Center of the Arts (3rd @ Howard),68,60
Embarcadero at Bryant,54,San Francisco Caltrain 2 (330 Townsend),69,255
Embarcadero at Bryant,54,San Francisco Caltrain (Townsend at 4th),70,989
Embarcadero at Bryant,54,Powell at Post (Union Square),71,36
Embarcadero at Bryant,54,Civic Center BART (7th at Market),72,52
Embarcadero at Bryant,54,Grant Avenue at Columbus Avenue,73,42
Embarcadero at Bryant,54,Steuart at Market,74,728
Embarcadero at Bryant,54,Mechanics Plaza (Market at Battery),75,387
Embarcadero at Bryant,54,Market at 4th,76,111
Embarcadero at Bryant,54,Market at Sansome,77,59
Embarcadero at Bryant,54,Broadway St at Battery St,82,126
Temporary Transbay Terminal,55,Powell Street BART,39,144
Temporary Transbay Terminal,55,Clay at Battery,41,405
Temporary Transbay Terminal,55,Davis at Jackson,42,141
Temporary Transbay Terminal,55,Commercial at Montgomery,45,513
Temporary Transbay Terminal,55,Washington at Kearny,46,73
Temporary Transbay Terminal,55,Post at Kearny,47,71
Temporary Transbay Terminal,55,Embarcadero at Vallejo,48,614
Temporary Transbay Terminal,55,Spear at Folsom,49,61
Temporary Transbay Terminal,55,Harry Bridges Plaza (Ferry Building),50,207
Temporary Transbay Terminal,55,Embarcadero at Folsom,51,56
Temporary Transbay Terminal,55,Embarcadero at Bryant,54,164
Temporary Transbay Terminal,55,Temporary Transbay Terminal,55,89
Temporary Transbay Terminal,55,Beale at Market,56,98
Temporary Transbay Terminal,55,5th at Howard,57,712
Temporary Transbay Terminal,55,San Francisco City Hall,58,44
Temporary Transbay Terminal,55,Golden Gate at Polk,59,92
Temporary Transbay Terminal,55,Embarcadero at Sansome,60,492
Temporary Transbay Terminal,55,2nd at Townsend,61,1232
Temporary Transbay Terminal,55,2nd at Folsom,62,189
Temporary Transbay Terminal,55,Howard at 2nd,63,276
Temporary Transbay Terminal,55,2nd at South Park,64,270
Temporary Transbay Terminal,55,Townsend at 7th,65,705
Temporary Transbay Terminal,55,South Van Ness at Market,66,456
Temporary Transbay Terminal,55,Market at 10th,67,340
Temporary Transbay Terminal,55,Yerba Buena Center of the Arts (3rd @ Howard),68,206
Temporary Transbay Terminal,55,San Francisco Caltrain 2 (330 Townsend),69,941
Temporary Transbay Terminal,55,San Francisco Caltrain (Townsend at 4th),70,2270
Temporary Transbay Terminal,55,Powell at Post (Union Square),71,83
Temporary Transbay Terminal,55,Civic Center BART (7th at Market),72,239
Temporary Transbay Terminal,55,Grant Avenue at Columbus Avenue,73,197
Temporary Transbay Terminal,55,Steuart at Market,74,251
Temporary Transbay Terminal,55,Mechanics Plaza (Market at Battery),75,379
Temporary Transbay Terminal,55,Market at 4th,76,389
Temporary Transbay Terminal,55,Market at Sansome,77,227
Temporary Transbay Terminal,55,Broadway St at Battery St,82,482
Beale at Market,56,San Jose Civic Center,3,1
Beale at Market,56,Powell Street BART,39,129
Beale at Market,56,Clay at Battery,41,46
Beale at Market,56,Davis at Jackson,42,153
Beale at Market,56,Commercial at Montgomery,45,301
Beale at Market,56,Washington at Kearny,46,36
Beale at Market,56,Post at Kearny,47,88
Beale at Market,56,Embarcadero at Vallejo,48,201
Beale at Market,56,Spear at Folsom,49,211
Beale at Market,56,Harry Bridges Plaza (Ferry Building),50,118
Beale at Market,56,Embarcadero at Folsom,51,79
Beale at Market,56,Embarcadero at Bryant,54,310
Beale at Market,56,Temporary Transbay Terminal,55,399
Beale at Market,56,Beale at Market,56,86
Beale at Market,56,5th at Howard,57,80
Beale at Market,56,San Francisco City Hall,58,24
Beale at Market,56,Golden Gate at Polk,59,91
Beale at Market,56,Embarcadero at Sansome,60,607
Beale at Market,56,2nd at Townsend,61,447
Beale at Market,56,2nd at Folsom,62,54
Beale at Market,56,Howard at 2nd,63,49
Beale at Market,56,2nd at South Park,64,272
Beale at Market,56,Townsend at 7th,65,41
Beale at Market,56,South Van Ness at Market,66,85
Beale at Market,56,Market at 10th,67,139
Beale at Market,56,Yerba Buena Center of the Arts (3rd @ Howard),68,81
Beale at Market,56,San Francisco Caltrain 2 (330 Townsend),69,570
Beale at Market,56,San Francisco Caltrain (Townsend at 4th),70,1409
Beale at Market,56,Powell at Post (Union Square),71,116
Beale at Market,56,Civic Center BART (7th at Market),72,48
Beale at Market,56,Grant Avenue at Columbus Avenue,73,124
Beale at Market,56,Steuart at Market,74,67
Beale at Market,56,Mechanics Plaza (Market at Battery),75,41
Beale at Market,56,Market at 4th,76,149
Beale at Market,56,Market at Sansome,77,118
Beale at Market,56,Broadway St at Battery St,82,599
5th at Howard,57,Powell Street BART,39,212
5th at Howard,57,Clay at Battery,41,35
5th at Howard,57,Davis at Jackson,42,12
5th at Howard,57,Commercial at Montgomery,45,19
5th at Howard,57,Washington at Kearny,46,68
5th at Howard,57,Post at Kearny,47,223
5th at Howard,57,Embarcadero at Vallejo,48,26
5th at Howard,57,Spear at Folsom,49,73
5th at Howard,57,Harry Bridges Plaza (Ferry Building),50,172
5th at Howard,57,Embarcadero at Folsom,51,40
5th at Howard,57,Embarcadero at Bryant,54,14
5th at Howard,57,Temporary Transbay Terminal,55,535
5th at Howard,57,Beale at Market,56,103
5th at Howard,57,5th at Howard,57,71
5th at Howard,57,San Francisco City Hall,58,36
5th at Howard,57,Golden Gate at Polk,59,100
5th at Howard,57,Embarcadero at Sansome,60,67
5th at Howard,57,2nd at Townsend,61,77
5th at Howard,57,2nd at Folsom,62,149
5th at Howard,57,Howard at 2nd,63,247
5th at Howard,57,2nd at South Park,64,58
5th at Howard,57,Townsend at 7th,65,199
5th at Howard,57,South Van Ness at Market,66,76
5th at Howard,57,Market at 10th,67,149
5th at Howard,57,Yerba Buena Center of the Arts (3rd @ Howard),68,44
5th at Howard,57,San Francisco Caltrain 2 (330 Townsend),69,1490
